id,Emotion,Sentence,Confidence
1,Hài quá,Dưới 5 củ tecno spark 40pro ngon nhất,0.43895489276492294
2,Thật kinh tởm,Poco sao ko có đất,0.35424398760949405
3,Hài quá,"Honor x9d shopee sale có 6tr7 6tr8 thôi. Cam tròn nhìn k đẹp lắm thôi chứ màn, pin sạc, độ bền OS ngon choét luôn. Mua 200 rồi chứ k là quất lun con đó ấy.",0.3518917460812386
4,Hài quá,"Mình đang phân vân s26u và xiaomi17U. Nhưng sợ xiaomi mất vs chậm thông báo,k biết đã fix dc chưa",0.2791534306418367
5,Thật kinh tởm,8:15 ủa tưởng s25 fe lên exynos 2400 r chứ😀,0.2991681911080492
6,Hài quá,"2 đứa thi nhau hát à.. giới thiệu chậm lại 1 chút xíu nữa, chứ lua nhanh quá nghe 2 đứa😂😂😂😂",0.37065432289136513
7,Hài quá,"Sửa title lại kìa kênh ơi, sao lại là A-d-nroid",0.3259431123027813
8,Thật kinh tởm,Ae đừng mua a07 nhé. Tôi đang dùng này. Cần tôi bán lại cho,0.29678348551331585
9,Hài quá,Hơi bị côn đồ đấy 😢😢,0.40842063161413605
10,Hài quá,"Tầm 6m đổ lại mua máy chính hãng, có thể mua máy cũ nên mua gì nhỉ ae, hoặc cố nhích lên 7 cũng được, đang thấy con mi 13 ngon mà thấy sọc nhiều quâ",0.3128506559133776
11,Hài quá,vivo cũng đc mà ko thấy nhắc ta,0.27359587892666826
12,Thật kinh tởm,"Tầm 5-7 triệu mua con Poco M8 Pro đc ko nhỉ? Ko cần chơi game lắm, cần ổn định thôi.",0.3032573207290877
13,Hài quá,tầm trung không có honor x9d à,0.3283690180012358
14,Hài quá,"Con poco X7 pro không vào danh sách hả, hay chỉ là do máy này bán online nên không tínhv",0.2788355390555704
15,Hài quá,Mn cho hỏi con a17 chip G99 còn con a26 con exynos 1380 thì con nào ngonn với lai chip 1380 = chip snap nào ? Xin c on ạ 😊,0.2933356064874178
16,Sợ quá,"còn con máy nữa khá ổn là redmi note 15 pro (ngang giá nhưng thua mi 15t) nhưng dc cái máy siêu bền, dành cho những phụ huynh có con nhỏ hay quăng quật, hoặc chính họ cũng hay làm rơi",0.3014109144743871
17,Hài quá,"Mình thấy tầm 3tr - 4tr 
tecno spark 40 pro ngon nhất ko thấy nhắc đến nhỉ",0.3642935167711515
18,Hài quá,"mấy máy 10-15tr dùng vài năm có bị chậm, khựng không anh em?",0.30653315679701293
19,Hài quá,K thấy nhắc tới Poco nhỉ trong khi Poco trong khi phân khúc từ 7-15tr Poco làm tốt và có khi nhỉnh hơn Redmi và Oppo luôn ấy chứ,0.3801296317826497
20,Hài quá,năng lượng vui vẻ năng động đấy 2 người cứ giữ vibe này thêm tầm chục video nx là ok,0.3417419229681775
21,Hài quá,Nên chọn 15T hay 14T pro nhỉ,0.4141567647221414
22,Hài quá,Quên con honor 400 pro rồi,0.2869946049354689
23,Hài quá,Tâm giá 10 15 thì edge 70 mới ra vẫn đáng tiền nhất,0.3490600648116645
24,Hài quá,11tr s25fe new hay ráng 16tr mua s24+ new nhỉ,0.30741823701761767
25,Hài quá,"Dùng Xiaomi,Oppo và mua 1 cái ss cùng tầm giá thì màn nó đẹo hơn thật,chỉ là hơi thô hơn thôi",0.3138387963129692
26,Hài quá,"Xiaomi 15 512 shopee bán 14,5tr mà k cho vào à :))",0.3000753993403409
27,Hài quá,A06 5g giá 2 triêu,0.35866331498476695
28,Hài quá,mua máy chính hãng = sai lầm tuổi trẻ :))) dc thì quất cao cấp còn dưới 10 củ xách tay là ngon nhất 😂,0.2814702608425657
29,Hài quá,Bốc con a56 6tr1 thấy ổn áp phết,0.4107078233221259
30,Hài quá,"6tr thì săn sale sàn S con A56 best P/P luôn. Mình mua 1 con tặng cha, xài ngon!",0.3617034195211591
31,Hài quá,mn ơi mình định mua k70pro cũ nhưng mà sạc 700 lần r nhìn cũng mới thì giá bao nhiêu là hợp lý v,0.31033278306579914
32,Hài quá,"con find x9 giờ mn mua loay hoay 18-19 củ thì nó bố phân khúc dưới 20, trên 20 ra tgdd không trừ quà à:)))",0.3526855877640127
33,Hài quá,Mới lấy con a56 chính hãng 8.128 shope có 6.3. Nhiều máy ngon hơn nhưng bố lại chỉ thích ss,0.3514361439808808
34,Hài quá,Con Motorola edge 60 fusion canh tgdd sale 6m6 thôi.tôi đu đỉnh 7890k :)))),0.3679403534814311
35,Hài quá,Tầm trung lại thấy Sam ngon hơn mấy con Tàu thật,0.3455114905017274
36,Ôi trời ơi,Máy xách t-,0.2785377509603411
37,Sợ quá,Mấy dòng ít tiền cam chống mù thôi hay do thời lượng video ít nên ko thấy nói nhỉ,0.3009299661927033
38,Hài quá,không game nặng tôi dám khẳng định máy mới tầm 3tr con tecno 40 pro này ngon nhất ae nhé,0.3343832041205773
39,Hài quá,Mấy cái giá rẻ này thông số chỉ lòe thôi,0.3537243139018426
40,Hài quá,"Còn máy nào tầm 3-4 triệu có tính năng cảm ứng như techno spark 40 pro không ad và mọi người , tks",0.3101336105887709
41,Hài quá,Đt j méo thấy ai xài cũng quốc dân😂😂😂,0.3386892661794297
42,Buồn quá,Giao hơi lâu,0.2907813629195731
43,Hài quá,"Góp ý với kênh là trong những clip kiểu ""liệt kê"" như thế này thì khi đang nói về chiếc nào, hãy ghi tên nó lên màn hình.",0.33150359334505836
44,Hài quá,Tôi lại mong lg quay lại mảng này vì thiết kế của họ rất đẹp từng là số1,0.27596369045254093
45,Hài quá,"Giờ thì mình không tin vào Tecno nữa .
Tecno spark go 2  loa kép đúng là âm lượng lớn thật nhưng mà có dùng được đâu? Xem Youtube nếu mở>50% thì lập tức nó lạng ngay. Đang xem video này nó nhảy qua video khác và tiếp tục nhảy không ngừng, lại còn tự động bật phụ đề Tiếng Việt nữa mới ghê.😂
Lỡ rồi, đành để em nó làm cục phát wifi cho khỏi bực mình.",0.3365309676878258
46,Thật kinh tởm,Mua  tecno về rồi hỏng ko có linh kiện thay ! Xác định hỏng thì vứt,0.29133215297029774
47,Hài quá,Dòng Samsung A mà màn nhỏ hơn thì mình cũng thấy ok đó,0.3796078589514315
48,Hài quá,mấy bn oi tecno camon 30s máy chụp anh ngon không nên mua vào cuối năm nay không,0.3392093715502806
49,Hài quá,Anh nam ơi bây giờ iPhone 13 còn nguyên seal 100% không nhỉ,0.3590800364800033
50,Thật kinh tởm,Áp dụng youtube shopping kiểu gì. Đường dẫn link toàn cho vào shoppe đắt hơn nhiều,0.3084097086991541
51,Hài quá,Cứ có tiền thì mua gì sai cũng thành đúng,0.3898632434899817
52,Thật kinh tởm,"Poco M7pro sao Nam ơi, liệu còn đáng mua thời điểm hiện tại không.?",0.280912249021156
53,Hài quá,"New thì con này ok nhất r. Toàn diện đồng đều. Nhưng ae công nghệ sẽ chọn flaship cũ tầm giá này kk
Tôi thích mi10s tầm này nhất😂",0.3064251056557741
54,Hài quá,anh nam ơi kênh bên kia nói techno spark go 2 là loa đơn và chip thua con g81 làm em đag đặt hàng nghe xog hãi quá muốn hủy đơn luôn.giờ kb họ noi co đúng ko.,0.3776866639260872
55,Hài quá,mong lần sau tecno làm 1 con tương tự như này nâng lên pin 7k bán 5tr thì mua ngay,0.31535696712785927
56,Thật kinh tởm,thiếu poco x7 pro là sai lầm :v,0.2791594878650482
57,Hài quá,Nhờ b mua hộ dt dc ko a,0.28228971134207553
58,Hài quá,Ram 12GB mới ổn chuẩn bộ nhớ mới nữa 😂,0.32608665575681706
59,Hài quá,Chúc anh nam vui vẻ nha,0.5055067407918532
60,Hài quá,Tặng em iPhone 13 Promax Sài nha anh nam,0.4181987316011606
61,Hài quá,không đủ tiền mua a56 mua a36 được không ad nhỉ,0.36054126584758633
62,Thật kinh tởm,Nói giá rất ngon kích vào ko phải.rất hay.ít người biết đến giá này,0.3571408619982637
63,Hài quá,con techno kia như kiểu độ chỉ số ấy nhỉ g100 gánh màn 120 lại còn màn 1.5k (chắc có phần cứng nào độ lên) nghe nó hơi bất khả thi dùng lâu chắc phải chuyển từ 120 xuống 60 mới mượt mình nghĩ vậy wifi nhiều lúc ngáo nữa,0.3198105665287064
64,Hài quá,note 14 hyper os thực sự lag ae à phải lên chip mạnh mạnh hơn thì đỡ,0.3377590450510638
65,Sợ quá,"xem video a nhiều,100% video đều nhắc đến giá trên ytshopping thật sự thì giá này mấy ai tiếp cận được đâu.",0.2847883188131722
66,Hài quá,Tham khảo tại Điện Thoại Hay : https://dienthoaihay.vn/oneplus/oneplus-15-p993.html,0.29156214391650426
67,Hài quá,oneplus 15 cài rom quốc tế xong khoá lại vừa đc cập nhật OTA quá bá,0.3360928626929954
68,Hài quá,Em có 10 triệu muốn mua đt ko quan tâm pin lắm chỉ cần camera ok tí và chơi game ổn định tại game em chơi không nặng lắm hiện tại em đag khá ưng mi 15 có con nào nổi bật hơn mi15 ko ạ,0.28269810961885006
69,Hài quá,Tầm giá 15 thì có nên mua honor win ko a,0.29247152546448896
70,Hài quá,10-15 mà muốn toàn diện thì chỉ có nội địa trung,0.360433700030012
71,Hài quá,Thêm 1 củ mua OPPO find X9 chính hãng không ngon hơn à ?,0.33926280128514197
72,Hài quá,"Anh tư vấn giúp em con máy tầm trên dưới 15tr màn to đẹp pin , cam ổn chip khoẻ và có thể dùng mượt mà trong nhiều năm",0.3179552200513035
73,Sợ quá,"ngân sách 13tr giờ còn nên mua honor magic 7 pro không anh. nhu cầu chơi liên quân trong 3,4 năm ạ",0.2946191245464501
74,Hài quá,"Find X9 thấy bên Pap Công Nghệ test hiệu năng rất tệ nhá chú Dương, kể cả dòng X300 hay chip 9500 nói chung",0.33568158916163765
75,Hài quá,Con 16e lỏ cứ thích nhỉ. Màn tai thỏ đã k thích rồi. Còn k có magsafe nữa 😂,0.35643202667117596
76,Hài quá,"Cho em hỏi từ 10-13tr có máy nào pin trâu, màn to làm máy chính ổn không ạ. Nhu cầu của em chủ yếu dùng zalo, youtube, tiktok ạ.",0.3030612152484929
77,Hài quá,Thế quái nào mk dùng op15 đang dùng oxygen os16 mà có bị khóa ngân hàng đâu,0.3569568484387501
78,Hài quá,Anh dương oneplus 15 có rom quốc tế với lock bootloader đc. Anh nghiên cứu thử xem❤,0.2922761894361154
79,Hài quá,"Mn cho mình hỏi điện thoại xách tay có con nào ko bị chậm thông báo ko, thích con oppo find 9 pro quá mà ko dám mua.",0.3156760473096611
80,Hài quá,cố lên tý lấy Find X9 pro ngon luôn,0.336240414039522
81,Hài quá,"Tài chính dưới 20 củ,nhu cầu chơi game ở mức cơ bản pin trâu hệ điều hành ngon cam đẹp thì nên mua con nào ạ",0.29821380550586063
82,Sợ quá,"K nên mua đt nội địa hay sách tay nữa nhé mn. Nhà nước ngày càng ban hành quy định quản lý gắt gao, đừng ham rẻ mà đánh đổi nhiều hệ lụy.",0.278828651883669
83,Hài quá,anh Dương ơi tư vấn giúp em có con máy nào ngon nhất tầm giá dưới 10tr mà có chip mạnh ạ. Nhu cầu của e là máy phụ để chơi game không quan trọng những cái khác ạ.,0.2903855701152591
84,Hài quá,Bây giờ Oppo Reno14 5g có ổn không vậy mn,0.33488808512796164
85,Sợ quá,"A Dương ơi cho e hỏi ở mức giá hiện tại có nên mua ip 16prm k hay cùng mức giá đấy nên mua đt khác ạ? E k qtrg ios hay android, nhu cầu của e muốn dùng lâu dài, chụp ảnh quay phim đẹp ạ. Chúc a và ekip một năm mới nhiều sức khỏe để lên thật nhiều video hữu ích cho ae.",0.30799263277744343
86,Sợ quá,"Cho e hỏi Xiaomi poco pad m 1 có đáng mua không ạ?e chỉ xem youtube vs nghe nhạc(không quan trọng chơi game) mong a tư vấn giúp e, e cám ơn 😍",0.30096701509026924
87,Hài quá,Anh ơi 10.000.000đ thì mua điện thoại gì.em chúc anh và gia đình nhiều sức khỏe,0.3383477666252176
